"ORIGFDCD","ORIGFDNM","ENGFDNAM","ORIGGPCD","SCINAM"
28201.00,"Porc, filet, maigre, cru","Pork tenderloin, lean, raw","09",
28202.00,"Porc, filet, maigre, en rôti, cuit","Pork tenderloin roast, cooked","09",
28300.00,"Porc, rôti, cru","Pork roast, lean & fat, raw","09",
28301.00,"Porc, rôti, cuit","Pork roast, lean & fat, cooked","09",
28400.00,"Porc, travers, cru","Pork spare-ribs, raw","09",
28401.00,"Porc, travers, braisé","Pork spare-ribs, braised","09",
28451.00,"Porc, échine, rôtie","Pork blade, roasted","09",
28501.00,"Lardon nature, cru","Pork rashers, streaky, raw","12",
28720.00,"Lardon fumé, cru","Pork rashers, smoked, raw","12",
28725.00,"Lardon fumé, cuit","Pork rashers, smoked, cooked","12",
28727.00,"Filet de bacon, cuit","Bacon, back, cooked","12",
28800.00,"Jambon cru","Ham, raw, cured","12",
28801.00,"Jambon cru, fumé","Ham, raw, smoked","12",
28802.00,"Jambon sec, découenné, dégraissé","Ham, raw, fat & rind removed","12",
28803.00,"Jambon cuit, fumé","Ham, cooked, smoked","12",
28850.00,"Coppa","Coppa, raw, dry","12",
28858.00,"Pancetta ou Poitrine roulée sèche","Pancetta, dry","12",
28900.00,"Jambon cuit supérieur","Ham, cooked, quality label","12",
28906.00,"Jambon cuit supérieur, DD","Ham, cooked, fat & rind removed, quality label","12",
28916.00,"Jambon cuit","Ham, cooked","12",
28925.00,"Jambon cuit, de Paris, DD","Ham, cooked, fat & rind removed","12",
28960.00,"Jambonneau, cuit","Ham knuckle, cooked","12",
13173.00,"Boisson infantile céréales lactées pour le petit déjeuner","Milky cereal-based beverage for baby's breakfast","33",
30005.00,"Chipolata, cuite","Chipolata sausage, cooked","12",
25056.00,"Gratin dauphinois","Creamed potatoes, Dauphiné-style","25.3",
25065.00,"Boeuf aux carottes","Beef with carrots, canned","25.1",
25071.00,"Potée auvergnate","Stew of sausages with cabbage and root vegetables","25.1",
25074.00,"Calmars ou Calamars au riz","Squid, with rice","25.2",
25080.00,"Cannelloni à la viande","Cannelloni, meat","25.4",
25081.00,"Lasagnes à la bolognaise","Lasagne with bolognese sauce","25.4",
25085.00,"Pâtes à la bolognaise (spaghetti, tagliatelles…)","Pasta with bolognese sauce","25.4",
25086.00,"Poisson à la bordelaise","Fish with bordelaise sauce","25.2",
25088.00,"Riz cantonnais","Rice, fried, Canton style","25.4",
25089.00,"Cordon bleu de volaille","Poultry filled with cheese and ham","25.1",
25092.00,"Poulet basquaise au riz","Chicken, Basque style, with rice","25.1",
25093.00,"Poulet basquaise aux pâtes","Chicken, Basque style, with pasta","25.1",
25101.00,"Gratin de chou-fleur","Cauliflower au gratin","25.3",
25103.00,"Tomate farcie","Stuffed tomatoes","25.1",
25108.00,"Samossas ou Samoussas","Samosas","25",
25111.00,"Chili con carne","Chili con carne","25.1",
25116.00,"Poulet au curry, avec riz ou semoule, préemballé","Chicken curry, with rice","25.1",
25121.00,"Coq au vin","Coq au vin","25.1",
25122.00,"Gratin de pâtes","Pasta au gratin","25.4",
25123.00,"Moussaka","Moussaka","25.1",
25124.00,"Navarin d'agneau","Lamb navarin","25.1",
25126.00,"Paupiette de volaille","Poultry paupiette","25.1",
25127.00,"Couscous royal à la viande","Couscous with mutton and beef","25.4",
25400.00,"Croque-monsieur","Grilled cheese & ham sandwich","26",
25401.00,"Feuilleté ou Friand au fromage","Puff pastry with cheese","25.5",
25402.00,"Feuilleté ou Friand à la viande","Puff pastry filled with paté","25.1",
25405.00,"Quiche lorraine","Quiche lorraine","25.6",
25409.00,"Crêpe fourrée béchamel jambon","Crepe, stuffed with ham","25.6",
25410.00,"Crêpe fourrée béchamel jambon fromage","Crepe, stuffed with ham and cheese","25.6",
25412.00,"Bouchée à la reine, au poulet","Vol-au-vent with chicken","25.1",
25413.00,"Hamburger","Hamburger, regular, fast foods restaurant","26",
25414.00,"Cheeseburger","Cheeseburger, fast foods restaurant","26",
25415.00,"Double cheeseburger","Cheeseburger, double, fast foods restaurant","26",
25417.00,"Tarte aux légumes","Vegetable quiche, from delicatessen or bakery","25.6",
25418.00,"Croissant au jambon","Croissant with ham, from bakery","26",
25420.00,"Nem ou Pâté impérial","Egg roll or Nem","25",
25422.00,"Sandwich baguette, merguez frites","Sandwich on french bread, sausage-chips (french fries)","26",
25428.00,"Sandwich grec ou Kebab, pita, avec crudités","Sandwich on pita bread, gyros or kebab, lettuce & tomato, mayonnaise","26",
25429.00,"Sandwich grec ou Kebab, baguette, avec crudités","Sandwich on french bread, gyros or kebab, lettuce & tomato, mayonnaise","26",
25431.00,"Sandwich baguette, thon, crudités (tomate, salade), mayonnaise","Sandwich on french bread, tuna, lettuce & tomato, mayonnaise","26",
25432.00,"Burritos ou Fajitas","Burritos or Fajitas, fast foods restaurants","25.1",
25433.00,"Accra de morue","Cod fritters","25.2",
25434.00,"Sandwich panini, jambon cru, mozzarella, tomates","Sandwich on panini bread, raw ham, mozarella and tomatoes","26",
25435.00,"Pizza jambon fromage","Pizza, ham and cheese","25.6",
25437.00,"Gougère, faite maison","Cheese chou-pastry puff","25.5",
25444.00,"Tarte au fromage","Cheese and egg quiche","25.6",
25445.00,"Tiramisu","Tiramisu","05.8",
25475.00,"Sandwich baguette, jambon, oeuf dur, crudités (tomate, salade), beurre","Sandwich on french bread, ham, egg, tomato, lettuce, butter","26",
25476.00,"Sandwich baguette, poulet, crudités (tomate, salade), mayonnaise","Sandwich on french bread, chicken, lettuce & tomato, mayonnaise","26",
25478.00,"Pizza 4 fromages","Pizza, 4 cheeses","25.6",
25503.00,"Bouchée à la reine, au poisson et fruits de mer","Vol-au-vent with seafood","25.2",
25504.00,"Brochette de volaille","Kebab, poultry","25.1",
25505.00,"Brochette de boeuf","Kebab, beef","25.1",
25506.00,"Brochette mixte de viande","Kebab, mixed meat","25.1",
25508.00,"Feuilleté ou Friand béchamel jambon fromage","Puff pastry with ham, cheese and becamel sauce","25.5",
25511.00,"Légumes farcis (sauf tomate)","Stuffed vegetables (excluding tomato)","25.1",
25512.00,"Nuggets de volaille","Chicken nuggets","25.1",
25513.00,"Pan bagna","Sandwich, tuna and vegetable","26",
25515.00,"Pizza ""spéciale""","Pizza, various toppings","25.6",
25517.00,"Sandwich baguette, jambon, beurre","Sandwich on french bread, ham and butter","26",
25518.00,"Sandwich baguette, camembert, beurre","Sandwich on french bread, camembert and butter","26",
25519.00,"Sandwich baguette, pâté, cornichons","Sandwich on french bread, paté and pickles","26",
25521.00,"Sandwich baguette, jambon, emmental, beurre","Sandwich on french bread, emmental cheese and butter","26",
25522.00,"Sandwich (aliment moyen)","Sandwich (average)","AM",
25523.00,"Toasts ou Canapés salés, garnitures diverses","Canapés (toasts with various toppings)","25",
25524.00,"Tomate à la provençale","Tomatoes, grilled with garlic breadcrumbs","25.3",
25530.00,"Sandwich baguette, crudités diverses, mayonnaise","Sandwich on french bread, vegetables and mayonnaise","26",
25533.00,"Sandwich baguette, porc, crudités (tomate, salade), mayonnaise","Sandwich on french bread, pork, lettuce & tomato, mayonnaise","26",
25601.00,"Salade de thon et légumes, appertisée, égouttée","Salad, tuna-vegetable, canned","24",
25602.00,"Salade composée avec viande ou poisson, appertisée, égouttée","Salad, mixed, with meat or fish, canned","24",
25604.00,"Salade verte, sans assaisonnement","Green salad, without seasoning","15",
25605.00,"Champignon à la grecque","Mushrooms, marinated","24",
25606.00,"Salade de pommes de terre maison","Salad, potato, home-prepared","24",
25614.00,"Salade de riz","Salad, rice","24",
25615.00,"Salade de pâtes, végétarienne","Salad, pasta with vegetables","24",
25616.00,"Crudité, sans assaisonnement (aliment moyen)","Salad, vegetable, without dressing (average)","AM",
25617.00,"Crudité vinaigrette (aliment moyen)","Salad, vegetable, oil & vinegar dressing (average)","AM",
25902.00,"Soupe de légumes, tout type","Soup, vegetable (average)","27.1",
25903.00,"Soupe de légumes, préemballée à réchauffer","Soup, vegetable, canned","27.1",
25904.00,"Soupe de poissons et/ou crustacés, préemballée à réchauffer","Soup, fish, canned","27.1",
25907.00,"Soupe aux poireaux et pommes de terre, préemballée à réchauffer","Soup, leek and potato, canned","27.1",
25908.00,"Soupe à la volaille et aux vermicelles, préemballée à réchauffer ou déshydratée reconstituée","Soup, chicken noodle","27.1",
25910.00,"Soupe à l'oignon, tout type","Soup, onion","27.1",
25912.00,"Soupe cuisinée aux champignons, tout type","Soup, cream of mushroom","27.1",
25914.00,"Soupe à la tomate, préemballée à réchauffer ou déshydratée reconstituée","Soup, cream of tomato","27.1",
25917.00,"Soupe au pistou, préemballée à réchauffer ou déshydratée reconstituée","Soup, pistou","27.1",
25945.00,"Soupe au potiron, tout type","Soup, pumpkin","27.1",
26000.00,"Anchois, filets à l'huile, semi-conserve, égoutté","Anchovy fillets, canned in oil","13.2","Engraulis encrasicholus L."
26003.00,"Carrelet ou Plie, cuit à la vapeur","Plaice, steamed","13.1","Pleuronectes platessa Linnaeus, 1758"
26004.00,"Oeufs de lompe, semi-conserve","Caviar substitute, Lumpfish eggs","13.2","Cyclopterus lumpus Linnaeus, 1758"
26005.00,"Caviar, semi-conserve","Caviar","13.2","Acipenser sturio Linnaeus, 1758"
26006.00,"Lieu ou colin d'Alaska, cru","Alaska pollock, raw","13.1","Theragra chalcogramma"
26007.00,"Églefin, pané, frit","Haddock, breaded, fried","13.2","Melanogrammus aeglefinus L."
26008.00,"Églefin, à la vapeur","Haddock, steamed","13.1","Melanogrammus aeglefinus L."
26009.00,"Flétan (de l'Atlantique), cru","Halibut, Atlantic, raw","13.1","Hippoglossus hippoglossus (Linnaeus, 1758)"
26010.00,"Hareng mariné ou rollmops","Pickled herring or Rollmops","13.2","Clupea harengus harengus Linnaeus, 1758"
26012.00,"Hareng, frit","Herring, fried","13.1","Clupea harengus harengus Linnaeus, 1758"
26013.00,"Hareng fumé","Herring, smoked","13.2","Clupea harengus harengus Linnaeus, 1758"
26014.00,"Hareng, grillé","Herring, grilled","13.1","Clupea harengus harengus Linnaeus, 1758"
26015.00,"Lieu noir, cuit","Atlantic pollock, cooked","13.1","Pollachius virens L."
26016.00,"Limande-sole, panée, frite","Lemon sole, breaded, fried","13.2","Microstomus kitt (Walbaum, 1792)"
26017.00,"Limande-sole, à la vapeur","Lemon sole, steamed","13.1","Microstomus kitt (Walbaum, 1792)"
26019.00,"Maquereau, cuit au four","Mackerel, oven cooked","13.1","Scomber (Scomber) scombrus Linnaeus, 1758"
26020.00,"Maquereau, frit","Mackerel, fried","13.1","Scomber (Scomber) scombrus Linnaeus, 1758"
26021.00,"Merlan, frit","Whiting, fried","13.1","Melangius merlangus merlangus Linnaeus, 1758"
26022.00,"Merlan, à la vapeur","Whiting, steamed","13.1","Melangius merlangus merlangus Linnaeus, 1758"
26023.00,"Cabillaud, cuit au four","Cod, baked","13.1","Gadus morhua morhua Linnaeus, 1758"
26024.00,"Morue, salée, pochée","Cod, salted, poached","13.2","Gadus morhua morhua Linnaeus, 1758"
26025.00,"Cabillaud, cuit à la vapeur","Cod, steamed","13.1","Gadus morhua morhua Linnaeus, 1758"
31001.00,"Barre chocolatée non biscuitée enrobée","Chocolate candy bar with nougat-caramel filling","21.4",
31002.00,"Barre à la noix de coco, enrobée de chocolat","Chocolate candy bar with coconut filling","21.4",
31003.00,"Bonbons, tout type","Sweets (candy), average","21.3",
31004.00,"Chocolat au lait, tablette","Chocolate, milk-","21.4",
31005.00,"Chocolat noir à 40% de cacao minimum, à pâtisser ou à croquer, tablette","Chocolate, dark-, 40% cocoa","21.4",
31006.00,"Confiture ou Marmelade, tout type (aliment moyen)","Jam or marmalade (average)","AM",
31008.00,"Miel","Honey","21.1",
31009.00,"Chocolat au lait aux céréales croustillantes, tablette","Chocolate, milk-, with rice","21.4",
31010.00,"Chocolat blanc, tablette","Chocolate, white-","21.4",
31014.00,"Pâte de fruits","Fruit paste","21.3",
31016.00,"Sucre blanc","Sugar, white","21.1",
31017.00,"Sucre roux","Sugar, brown","21.1",
31018.00,"Chocolat au lait aux fruits secs (noisettes, amandes, raisins, praline), tablette","Chocolate, milk-, with nuts and raisins","21.4",
31019.00,"Édulcorant à l'aspartame","Aspartame sweetener","21.1",
31024.00,"Confiture de fraise","Jam, strawberry","21.2",
31032.00,"Pâte à tartiner chocolat et noisette","Chocolate paste with hazelnuts","21.4",
31033.00,"Nougat ou touron","Nougat","21.3",
31035.00,"Barre chocolatée glacée","Frozen chocolate bar dessert","05.8",
31037.00,"Confiture d'abricot","Jam, apricot","21.2",
31038.00,"Confiture de cerise","Jam, cherry","21.2",
31039.00,"Confiture ou Marmelade d'orange","Marmalade, orange","21.2",
31041.00,"Confiserie au chocolat dragéifiée","Chocolate candy pellets, sugar-coated","21.4",
31054.00,"Chewing-gum, sans sucre","Chewing gum, artificial sweeteners","21.3",
31100.00,"Barre céréalière à base de céréales pour petit déjeuner et de lait, enrichie en vitamines et minéraux","Breakfast bar, enriched in vitamins and minerals","04",
31101.00,"Barre céréalière ""équilibre"" aux fruits, enrichie en vitamines et minéraux","Cereal bar with fruit, enriched in vitamins and minerals","04",
31102.00,"Barre céréalière ""équilibre"" au chocolat, enrichie en vitamines et minéraux","Cereal bar with chocolate, enriched in vitamins and minerals","04",
31104.00,"Barre céréalière diététique hypocalorique","Cereal bar, low calorie","04",
39600.00,"Crème glacée","Ice cream","05.8",
39700.00,"Crème anglaise","Custard, english cream","05.7",
39710.00,"Crème pâtissière","Custard, confectionners'","05.7",
40003.00,"Cervelle, agneau, cuite","Brain, lamb, boiled","11",
40004.00,"Cervelle, porc, braisée","Brain, pork, braised","11",
40007.00,"Cervelle, veau, cuite","Brain, calf, boiled","11",
40052.00,"Coeur, boeuf, cru","Heart, beef, raw","11",
40053.00,"Coeur, boeuf, cuit","Heart, beef, cooked","11",
40054.00,"Coeur, poulet, cru","Heart, chicken","11",
40055.00,"Coeur, dinde, cru","Heart, turkey, raw","11",
40056.00,"Coeur, poulet, cuit","Heart, chicken, cooked","11",
40057.00,"Coeur, dinde, cuit","Heart, turkey, cooked","11",
40059.00,"Coeur, agneau, cuit","Heart, lamb, braised","11",
40103.00,"Foie, agneau, cuit","Liver, lamb, cooked","11",
40104.00,"Foie, génisse, cru","Liver, beef, raw","11",
40105.00,"Foie, génisse, cuit","Liver, beef, cooked","11",
40106.00,"Foie, veau, cru","Liver, calf, raw","11",
40107.00,"Foie, veau, cuit","Liver, calf, cooked","11",
40109.00,"Foie, volaille, cuit","Liver, poultry, cooked","11",
40116.00,"Foie, poulet, cuit","Liver, chicken, cooked","11",
40202.00,"Langue, boeuf, crue","Tongue, beef, raw","11",
40203.00,"Langue, boeuf, cuite","Tongue, beef, boiled","11",
40305.00,"Ris, veau, braisé ou poêlé","Sweetbread (thymus), calf, braised","11",
40401.00,"Rognon, cuit (aliment moyen)","Kidney, all types, cooked","AM",
40402.00,"Rognon, boeuf, cru","Kidney, beef raw","11",
40403.00,"Rognon, boeuf, cuit","Kidney, beef stewed","11",
40405.00,"Rognon, porc, cuit","Kidney, pork stewed","11",
40406.00,"Rognon d'agneau, braisé","Kidney, lamb, braised","11",
40408.00,"Rognon de veau, braisé ou poêlé","Kidney, veal, braised","11",
40701.00,"Gésier, canard, confit, appertisé","Gizzard, duck, confit","11",
42000.00,"Substitut de repas hypocalorique, crème dessert ultra frais, toute arôme","Meal replacement, dessert-type","29",
42003.00,"Substitut de repas hypocalorique, à boire, tout arôme","Meal replacement, liquid","29",
42004.00,"Substitut de repas hypocalorique, poudre reconstituée avec lait écrémé, tout arôme","Meal replacement, reconstituted with skim milk","29",
76010.00,"Eau minérale Celtic, embouteillée, non gazeuse, très faiblement minéralisée (Niederbronn, 67)","Water, mineral, non-carbonated, CELTIC","22.2",
76012.00,"Eau minérale Chantemerle, embouteillée, non gazeuse, faiblement minéralisée (Le Pestrin, 07)","Water, mineral, non-carbonated, CHANTEMERLE","22.2",
76013.00,"Eau minérale Chateauneuf, embouteillée, gazeuse, fortement minéralisée (Chateauneuf, 63)","Water, mineral, carbonated, CHATEAUNEUF","22.2",
76014.00,"Eau minérale Chateldon, embouteillée, gazeuse, fortement minéralisée (Chateldon, 63)","Water, mineral, carbonated, CHATELDON","22.2",
76017.00,"Eau minérale Dax, embouteillée, non gazeuse, moyennement minéralisée (Dax, 40)","Water, mineral, non-carbonated, DAX","22.2",
76019.00,"Eau minérale Didier Plate, embouteillée non gazeuse, moyennement minéralisée (Martinique)","Water, mineral, non-carbonated, DIDIER PLATE","22.2",
76020.00,"Eau minérale Evian, embouteillée, non gazeuse, faiblement minéralisée (Evian, 74)","Water, mineral, non-carbonated, EVIAN","22.2",
76021.00,"Eau minérale Fonfort, embouteillée, gazeuse, fortement minéralisée (St-Romain-le-Puy, 42)","Water, mineral, carbonated, FONFORT","22.2",
76022.00,"Eau minérale Hépar, embouteillée, non gazeuse, fortement minéralisée (Vittel, 88)","Water, mineral, non-carbonated, HEPAR","22.2",
76023.00,"Eau minérale Hydroxydase, embouteillée, gazeuse, fortement minéralisée (Le Breuil sur Couze, 63)","Water, mineral, carbonated, HYDROXYDASE","22.2",
76024.00,"Eau minérale Vernière, embouteillée, gazeuse, moyennement minéralisée (Les Aires, 34)","Water, mineral, carbonated, VERNIERE","22.2",
76025.00,"Eau minérale Luchon (31), embouteillée, non gazeuse, faiblement minéralisée (Luchon, 31)","Water, mineral, non-carbonated, LUCHON","22.2",
76027.00,"Eau minérale Mont-Roucous, embouteillée, très faiblement minéralisée (Lacaune, 81)","Water, botled, MONT-ROUCOUS","22.2",
76028.00,"Eau de source Ogeu, embouteillée, faiblement minéralisée (Ogeu, 64)","Water, bottled, OGEU","22.2",
76029.00,"Eau minérale Orée du bois, embouteillée, non gazeuse, moyennement minéralisée (St-Amand, 59)","Water, mineral, non-carbonated, OREE DU BOIS","22.2",
76030.00,"Eau minérale Orezza, embouteillée, gazeuse, moyennement minéralisée (Rapaggio, 20B)","Water, mineral, carbonated, OREZZA","22.2",
76031.00,"Eau minérale Parot, embouteillée, gazeuse, fortement minéralisée (St-Romain-le-Puy, 42)","Water, mineral, non-carbonated, PAROT","22.2",
76032.00,"Eau minérale Plancoet, embouteillée, non gazeuse, faiblement minéralisée (Plancoet, 22)","Water, mineral, carbonated, PLANCOET","22.2",
76034.00,"Eau minérale Puits St-Georges, embouteillée, gazeuse, moyennement minéralisée (St-Romain-le-Puy, 42)","Water, mineral, carbonated, PUITS St-GEORGES","22.2",
76035.00,"Eau minérale Quézac, embouteillée, gazeuse, fortement minéralisée (Quézac, 48)","Water, mineral, carbonated, QUEZAC","22.2",
76037.00,"Eau minérale Rozana, embouteillée, gazeuse, fortement minéralisée (Beauregard, 63)","Water, mineral, carbonated, ROZANA","22.2",
76038.00,"Eau minérale Sail-les-Bains, embouteillée, non gazeuse, faiblement minéralisée (Sail-les-Bains, 42)","Water, mineral, non-carbonated, SAIL-LES-BAINS","22.2",
76040.00,"Eau minérale Soultzmatt , embouteillée, gazeuse, moyennement minéralisée ( Soultzmatt, 68)","Water, mineral, carbonated, SOULTZMATT","22.2",
76041.00,"Eau minérale St-Alban Antonin, embouteillée, gazeuse, fortement minéralisée (St-Alban, 42)","Water, mineral, carbonated, ST-ALBAN ANTONIN","22.2",
76043.00,"Eau minérale St-Amand Vauban, embouteillée, non gazeuse, moyennement minéralisée (St-Amand, 59)","Water, mineral, non-carbonated, ST-AMAND VAUBAN","22.2",
76044.00,"Eau minérale St-Antonin-Noble-Val, embouteillée, non gazeuse, fortement minéralisée (St-Antonin-Noble-Val, 82)","Water, mineral, non-carbonated, ST-ANTONIN-NOBLE-VAL","22.2",
76045.00,"Eau minérale St-Christophe, embouteillée, non gazeuse, moyennement minéralisée (Dax, 40)","Water, mineral, non-carbonated, ST-CHRISTOPHE","22.2",
76046.00,"Eau minérale St-Diéry, embouteillée, gazeuse, fortement minéralisée (St-Diéry, 63)","Water, mineral, carbonated, ST-DIERY","22.2",
76047.00,"Eau minérale Ste-Marguerite, embouteillée, gazeuse, fortement minéralisée (St-Maurice, 63)","Water, mineral, carbonated, STE-MARGUERITE","22.2",
76049.00,"Eau minérale St-Yorre, embouteillée, gazeuse, fortement minéralisée (Saint-Yorre, 03)","Water, mineral, carbonated, ST-YORRE","22.2",
76050.00,"Eau minérale Thonon, embouteillée, non gazeuse, faiblement minéralisée (Thonon, 74)","Water, mineral, non-carbonated, THONON","22.2",
76052.00,"Eau minérale Vals-Vivaraise, embouteillée, gazeuse, moyennement minéralisée (Vals, 07)","Water, mineral, carbonated, VALS-VIVARAISE","22.2",
76053.00,"Eau minérale Ventadour, embouteillée, gazeuse, faiblement minéralisée (Le Pestrin, 07)","Water, mineral, non-carbonated, VENTADOUR","22.2",
76055.00,"Eau minérale Vichy Célestins, embouteillée, gazeuse, fortement minéralisée (Saint-Yorre, 03)","Water, mineral, carbonated, VICHY CELESTINS","22.2",
76056.00,"Eau minérale Vittel, embouteillée, non gazeuse, moyennement minéralisée (Vittel, 88)","Water, mineral, non-carbonated, VITTEL","22.2",
76058.00,"Eau minérale Volvic active, embouteillée, gazeuse, faiblement minéralisée (Volvic, 63)","Water, mineral, carbonated, VOLVIC ACTIVE","22.2",
76059.00,"Eau minérale Wattwiller, embouteillée, non gazeuse, moyennement minéralisée (Wattwiller , 68)","Water, mineral, non-carbonated, WATTWILLER","22.2",
42005.00,"Substitut de repas hypocalorique, poudre reconstituée avec lait écrémé, type milk-shake, tout arôme","Meal replacement milkshake, reconstituted with skim milk","29",
51510.00,"Frik (blé dur immature concassé), sec","Frik (crushed immature hard wheat), dry","01.2",
76000.00,"Eau minérale Abatilles, embouteillée, non gazeuse, faiblement minéralisée (Arcachon, 33)","Water, mineral, non-carbonated, ABATILLES","22.2",
76001.00,"Eau minérale Aix-les-Bains, embouteillée, non gazeuse, faiblement minéralisée  (Aix-les-Bains, 73)","Water, mineral, non-carbonated, AIX-LES-BAINS","22.2",
76002.00,"Eau minérale Aizac, embouteillée, gazeuse, faiblement minéralisée (Aizac, 07)","Water, mineral, carbonated, AIZAC","22.2",
76003.00,"Eau minérale Alet, embouteillée, non gazeuse, faiblement minéralisée (Alet, 11)","Water, mineral, non-carbonated, ALET","22.2",
76004.00,"Eau minérale Amanda,  embouteillée, non gazeuse, fortement minéralisée (St-Amand, 59)","Water, mineral, non-carbonated, AMANDA","22.2",
76005.00,"Eau minérale Amélie-la-Reine, embouteillée, gazeuse, moyennement minéralisée (Cornillon, 38)","Water, mineral, carbonated, AMELIE-LA-REINE","22.2",
76006.00,"Eau minérale Arcens, embouteillée, gazeuse, fortement minéralisée (Arcens, 07)","Water, mineral, carbonated, ARCENS","22.2",
76007.00,"Eau minérale Arvie, embouteillée, gazeuse, fortement minéralisée (Ardes, 63)","Water, mineral, carbonated, ARVIE","22.2",
76009.00,"Eau minérale Avène, embouteillée, non gazeuse, faiblement minéralisée (Avène, 34)","Water, mineral, non-carbonated, AVENE","22.2",
31110.00,"Confiture allégée en sucre, tout type","Jam, reduced sugar","21.2",
32000.00,"Grains de blé soufflés au miel ou caramel, enrichis en vitamines et minéraux","Breakfast cereals, puffed wheat, honey or caramel, enriched","04",
32001.00,"Céréales pour petit déjeuner chocolatées, non fourrées, enrichies en vitamines et minéraux","Breakfast cereals, chocolate, without filling, enriched","04",
32002.00,"Céréales pour petit déjeuner riches en fibres, enrichies en vitamines et minéraux","Breakfast cereals, rich in fibre, enriched","04",
32003.00,"Céréales pour petit déjeuner (aliment moyen)","Breakfast cereals, sweet (average)","AM",
32004.00,"Muesli (aliment moyen)","Muesli (average)","AM",
32005.00,"Pétales de maïs natures, enrichis en vitamines et minéraux","Breakfast cereals, corn flakes, plain, enriched","04",
32006.00,"Riz soufflé nature, enrichi en vitamines et minéraux","Breakfast cereals, puffed rice, enriched","04",
32009.00,"Pétales de blé chocolatés, enrichis en vitamines et minéraux","Breakfast cereals, wheat flakes, chocolate, enriched","04",
32016.00,"Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes, enrichies en vitamines et minéraux","Breakfast cereals, chocolate filling, enriched","04",
32110.00,"Muesli floconneux aux fruits ou fruits secs, enrichi en vitamines et minéraux","Muesli, Bircher style, enriched","04",
32111.00,"Muesli croustillant aux fruits ou fruits secs, enrichi en vitamines et minéraux","Muesli, crunchy, with fruits, enriched","04",
32112.00,"Muesli croustillant au chocolat, enrichi en vitamines et minéraux","Muesli, crunchy, with chocolate, enriched","04",
32113.00,"Muesli floconneux aux fruits ou fruits secs, sans sucre ajouté","Muesli, Bircher style, no added sugar","04",
32121.00,"Pétales de maïs glacés au sucre, enrichis en vitamines et minéraux","Breakfast cereals, corn flakes, sugar frosted, enriched","04",
32123.00,"Pétales de blé avec noix, noisettes ou amandes, enrichis en vitamines et minéraux","Breakfast cereals, wheat flakes with fruit or nuts, enriched","04",
32133.00,"Boules de maïs soufflées au miel, enrichies en vitamines et minéraux","Breakfast cereals, popped or extruded corn, honey, enriched","04",
32135.00,"Multi-céréales soufflées ou extrudées, enrichies en vitamines et minéraux","Breakfast cereals, multi-cereal, puffed or extruded, enriched","04",
34000.00,"Lapin braisé","Rabbit, stewed","09",
34002.00,"Lapin, viande cuite","Rabbit, meat, cooked","09",
34500.00,"Grenouille, cuisse, crue","Frog legs, raw","13.1",
36004.00,"Poulet, cuisse, viande et peau, rôti","Chicken, leg, meat & skin, roasted","10",
36005.00,"Poulet, viande et peau, rôti","Chicken, meat & skin, roasted","10",
36010.00,"Poule, viande et peau, bouillie","Hen, meat & skin, stewed","10",
36011.00,"Poule, viande, bouillie","Hen, meat only, stewed","10",
36018.00,"Poulet, blanc, sans peau, cuit","Chicken breast, meat only, cooked","10",
36202.00,"Canard, viande rôtie","Duck, meat only, roasted","10",
36302.00,"Dinde, viande, rôtie","Turkey, meat only, roasted","10",
36304.00,"Dinde, escalope, crue","Turkey, breast, meat only, raw","10","Meleagris gallopavo domesticus"
36402.00,"Faisan, viande, rôtie","Pheasant, meat only, roasted","10",
36502.00,"Oie, viande, rôtie","Goose, meat only, roasted","10","Anser anser domesticus"
36602.00,"Pigeon, viande, rôtie","Pigeon, meat only, roasted","10",
38105.00,"Chips de maïs ou tortilla chips","Tortilla chips","03.3",
38106.00,"Biscuit apéritif soufflé, à base de pomme de terre","Cocktail biscuit, potato-based","03.3",
38400.00,"Biscuit apéritif soufflé, à base de maïs, sans cacahuète","Cocktail biscuit, extruded, salted","03.3",
38401.00,"Biscuit apéritif, crackers, garni ou fourré, au fromage","Cocktail biscuit with cheese-topping or filling","03.3",
38402.00,"Biscuit apéritif, crackers, nature","Cocktail biscuit without cheese","03.3",
39000.00,"Milk-shake, tout parfum","Milkshake, all flavours","05.7",
39132.00,"Lait gélifié aromatisé chocolat, rayon frais","Gelified milk, chocolate flavoured, refrigerated","05.7",
39206.00,"Mousse au chocolat, rayon frais","Chocolate mousse","05.8",
39211.00,"Crème dessert aux oeufs ou crème renversée","Custard dessert, caramel","05.7",
39212.00,"Riz au lait, rayon frais","Rice pudding,  refrigerated","05.8",
39213.00,"Crème brûlée","Custard, crème brûlée","05.7",
39214.00,"Crème dessert à la vanille, appertisée","Custard dessert, vanilla, canned","05.7",
39215.00,"Ile flottante","Custard, floating island","05.7",
39216.00,"Clafoutis aux fruits","Fruit batter pudding","05.8",
39221.00,"Lait gélifié aromatisé nappé de caramel, rayon frais","Gelified milk with caramel sauce, refrigerated","05.7",
39228.00,"Mousse aux fruits","Fruit mousse","05.8",
39229.00,"Crème dessert à la vanille, rayon frais","Custard dessert, vanilla, refrigerated","05.7",
39230.00,"Crème dessert, rayon frais (aliment moyen)","Custard dessert, refrigerated (average)","AM",
39400.00,"Lait de poule, sans alcool","Eggnog","05.7",
39401.00,"Pêche melba","Peach melba","05.8",
